username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
flavioparenti,2188.0,,2188,2188,1
fookooflakman,2324.2,9.808159868191384,2312,2337,5
fr77127,2180.0,,2180,2180,1
franchessko95,2234.0,,2234,2234,1
frenchfries64,2224.0,,2224,2224,1
g-lucky,2240.0,,2240,2240,1
gacaruana,2174.0,,2174,2174,1
gaganjani,2291.0,,2291,2291,1
gandalfthesmurf,2609.0,,2609,2609,1
ganny05,2407.0,,2407,2407,1
gena040356,2271.0,,2271,2271,1
giakala,2423.0,,2423,2423,1
gjvdodaj,2184.0,,2184,2184,1
gmcorrales,2230.0,,2230,2230,1
gmdrd,2242.0,,2242,2242,1
gniadys,2313.5,6.363961030678928,2309,2318,2
gogo8,2340.0,,2340,2340,1
goranm21,2546.0,,2546,2546,1
grisenfriesen,2228.0,,2228,2228,1
gskat,2203.0,,2203,2203,1
guineo59,2265.5,11.379806676741067,2249,2281,6
harrypater8,2414.0,,2414,2414,1
hatturogfattur,2279.0,,2279,2279,1
herbert,2191.0,,2191,2191,1
hiddenmen,2253.0,,2253,2253,1
howieB80,2176.5,6.363961030678928,2172,2181,2
howtomoveaknight,2211.0,,2211,2211,1
howtoquantum,2174.0,5.291502622129181,2168,2178,3
htetmyo,2194.0,,2194,2194,1
icepopcycle1,2275.0,,2275,2275,1
icychess54,2203.5,6.363961030678928,2199,2208,2
imposible2021,2277.0,,2277,2277,1
ivandj032,2164.0,,2164,2164,1
jacobsfrog,2361.0,,2361,2361,1
jarshh95,2172.0,,2172,2172,1
jaspersquig,2174.0,,2174,2174,1
jawschess1955,2185.0,,2185,2185,1
jedipredator,2459.0,,2459,2459,1
jeje0407,2189.0,,2189,2189,1
jeromechedze,2310.0,,2310,2310,1
jhmedinahn,2426.0,,2426,2426,1
jlkinglion,2239.0,,2239,2239,1
jmjv2019,2198.0,,2198,2198,1
jorgegodoisxadrez,2188.0,,2188,2188,1
jpcassemiro,2417.0,,2417,2417,1
justinsb,2318.0,,2318,2318,1
jzt16749,2237.0,,2237,2237,1
kaiclc,2311.5,28.991378028648448,2291,2332,2
kajmen34,2195.0,,2195,2195,1
karaefeee,2376.0,11.633285577743374,2362,2389,4
karthik_04,2181.0,,2181,2181,1
killer2424,2260.0,,2260,2260,1
king_kunal,2169.0,,2169,2169,1
